id,name,note,nbr_avis,type,quartier,prix
48,LA BANANE IVOIRIENNE,"4,7/5",3,Restaurant ivoirien,75011,€€
49,L'ASSIETTE,"4,7/5",3,Cuisine française,75014,€€
0,THAT'S LIFE,None,None,Restaurant italien et pizzeria,75003,€€
1,ANONA,None,None,Cuisine française,75017,€€
2,BRONX PIZZERIA,None,None,Restaurant italien et pizzeria,75017,€
3,UNICO AMÉLIE,"4,7/5",3,Restaurant argentin,75007,€€
4,BOUTARY,"4,7/5",3,Cuisine française,75006,€€€
5,KESSARI,"4,5/5",4,Restaurant indien,75009,€€
6,NEW JAWAD,"4,4/5",5,Restaurant indien,75007,€€
7,DESVOUGES,"4,5/5",4,Bistrot – Brasserie,75005,€€
8,MAVROMMATIS,"4,3/5",6,Restaurant grec,75005,€€
9,DJAKARTA BALI,"4,1/5",8,Restaurant indonésien,75001,€€
10,LE JÉROBOAM,"4,5/5",4,Cuisine méditerranéenne,75014,€€
11,LES DÉLICES D'APHRODITE,"4,3/5",6,Restaurant grec,75005,€€
12,LOUBNANE,"4,5/5",4,Restaurant libanais,75005,€€
13,LE CHOUPINET,"4,5/5",4,Cuisine française,75006,€€
14,CHEZ LUCIE,4/5,9,Restaurant antillais,75007,€€
15,L' HOMME BLEU,"4,5/5",4,Cuisine du Maghreb,75011,€€
16,LES FILAOS,"4,1/5",7,Restaurant réunionnais,75016,€€
17,LES GRILLADES DE BUENOS AIRES,"4,2/5",6,Restaurant argentin,75014,€€
18,LE JANISSAIRE,"4,1/5",7,Restaurant turc,75012,€€
19,ASSANABEL,4/5,8,Restaurant libanais,75014,€€
20,LE TROQUET,"4,1/5",7,Bistrot – Brasserie,75015,€€
21,BEAUREPAIRE,"4,1/5",7,Bistrot – Brasserie,75005,€€
22,LE ZEYER,"4,2/5",6,Cuisine française,75014,€€
23,AARCHNA,4/5,8,Restaurant indien,75020,€€
24,NATIVES,"4,5/5",2,Cuisine de l'Océan Indien et du Pacifique,75011,€€
25,VÉGÉ SAVEURS,"4,5/5",2,Restaurant végétarien,75012,€
26,PRATOLINA,"4,5/5",2,Restaurant italien et pizzeria,75002,€€
27,CHEZ TROQUETTE,"4,5/5",2,Cuisine française,75011,€€
28,ALLO TANDOORI,"4,3/5",4,Restaurant indien,75018,€
29,QUINSOU,"4,5/5",2,Cuisine française,75006,€€
30,VIRTUS,"4,5/5",2,Cuisine française,75012,€€
31,SALSAMENTERIA DI PARMA,"4,5/5",2,Restaurant italien et pizzeria,75009,€€
32,LE RADIS BEURRE,"4,5/5",2,Cuisine française,75015,€
33,LE GRAND RESTAURANT,"4,5/5",2,Cuisine française,75008,€€€
34,SOON GRILL,"4,5/5",2,Restaurant coréen,75003,€€
